HonestKeyTrace ,True,1.1246757507324219,16,[]
GoodKeyTrace ,True,1.026125192642212,16,[]
BadKeyTrace ,True,1.076171636581421,14,[]
SecretKeyA_Unless_Reveal ,True,0.927532434463501,13,[]
SecretKeyA ,False,1.0574328899383545,15,[]
SecretKeyB_Unless_Reveal ,False,1.7881858348846436,16,[]
SecretKeyB ,False,1.6093451976776123,16,[]
SecretKeyB_GoodSession ,True,1.3061797618865967,35,[]
ImplicitKeyAuthA ,False,1.148510217666626,22,[]
ImplicitKeyAuthB ,False,1.1277072429656982,16,[]
ImplicitKeyAuthA_full ,False,0.8852434158325195,16,[]
ImplicitKeyAuthB_full ,False,2.538806915283203,17,[]
