HonestKeyTrace ,True,1.1074042320251465,16,[]
GoodKeyTrace ,True,1.177922248840332,16,[]
BadKeyTrace ,True,1.0481159687042236,14,[]
SecretKeyA_Unless_Reveal ,True,1.0860435962677002,13,[]
SecretKeyA ,False,1.3263871669769287,15,[]
SecretKeyB_Unless_Reveal ,False,2.148695468902588,16,[]
SecretKeyB ,False,2.339843988418579,16,[]
SecretKeyB_GoodSession ,True,1.597588300704956,34,[]
ImplicitKeyAuthA ,True,0.7334549427032471,21,[]
ImplicitKeyAuthB ,False,1.1758418083190918,16,[]
ImplicitKeyAuthA_full ,False,1.057129144668579,16,[]
ImplicitKeyAuthB_full ,False,2.896662473678589,17,[]
